LSOA21CD,LSOA21NM,household_single_person_aged_66_over,household_couple_with_dependent_children,household_lone_parent_with_dependent_children
E01001511,Enfield 016D,69,156,87
E01001512,Enfield 015D,82,209,107
E01001513,Enfield 012F,68,129,158
E01001514,Enfield 016E,47,148,98
E01001515,Enfield 015E,36,133,132
E01001516,Enfield 005D,54,142,89
E01001517,Enfield 006C,52,120,139
E01001518,Enfield 016F,63,126,71
E01001520,Enfield 019A,71,125,59
E01001521,Enfield 028A,58,206,40
E01001522,Enfield 019B,60,190,106
E01001523,Enfield 019C,129,180,52
E01001524,Enfield 019D,46,118,41
E01001525,Enfield 020E,98,183,63
E01001526,Enfield 019E,105,140,36
E01001527,Enfield 036F,95,149,52
E01001528,Enfield 032B,36,105,105
E01001529,Enfield 032C,43,103,65
E01001530,Enfield 032D,40,134,76
E01001531,Enfield 028B,51,128,21
E01001532,Enfield 028C,86,154,19
E01001533,Enfield 028D,66,129,10
E01001534,Enfield 032E,51,127,29
E01001535,Enfield 028E,58,110,14
E01001536,Enfield 008B,114,160,81
E01001537,Enfield 005E,72,148,94
E01001538,Enfield 009A,58,152,28
E01001539,Enfield 009B,78,170,37
E01001540,Enfield 008C,90,168,69
E01001541,Enfield 008D,80,169,51
E01001542,Enfield 008E,95,122,92
E01001543,Enfield 009C,58,133,37
E01001544,Enfield 009D,88,144,30
E01001545,Enfield 002B,59,115,124
E01001546,Enfield 001C,45,113,106
E01001547,Enfield 002C,56,126,103
E01001548,Enfield 002D,50,140,125
E01001549,Enfield 006D,71,156,200
E01001550,Enfield 006E,43,115,105
E01001551,Enfield 002E,55,104,94
E01001552,Enfield 001D,52,131,90
E01001553,Enfield 037B,35,115,58
E01001554,Enfield 037C,54,102,125
E01001555,Enfield 033C,47,200,107
E01001556,Enfield 035E,51,84,49
E01001557,Enfield 033D,33,125,63
E01001558,Enfield 033E,36,139,100
E01001559,Enfield 033F,38,127,125
E01001560,Enfield 035F,38,78,58
E01001562,Enfield 037D,37,157,139
E01001563,Enfield 029C,63,172,45
E01001564,Enfield 022B,69,171,39
E01001565,Enfield 029D,96,134,41
E01001566,Enfield 029E,52,139,36
E01001567,Enfield 022C,99,156,23
E01001568,Enfield 022D,65,121,7
E01001569,Enfield 022E,85,156,54
E01001570,Enfield 026E,80,174,74
E01001571,Greenwich 008A,54,110,74
E01001572,Greenwich 008B,55,122,53
E01001573,Greenwich 008C,35,91,37
E01001574,Greenwich 008D,65,142,138
E01001575,Greenwich 003A,52,128,124
E01001576,Greenwich 003B,54,141,94
E01001577,Greenwich 003C,67,155,110
E01001578,Greenwich 003D,57,148,96
E01001579,Greenwich 003E,53,127,87
E01001580,Greenwich 021A,72,133,31
E01001581,Greenwich 016A,100,116,34
E01001582,Greenwich 021B,102,128,60
E01001583,Greenwich 021C,90,121,32
E01001584,Greenwich 021D,73,143,23
E01001585,Greenwich 016B,51,171,39
E01001586,Greenwich 016C,104,109,40
E01001587,Greenwich 016D,93,138,47
E01001588,Greenwich 012A,103,93,40
E01001589,Greenwich 012B,51,116,67
E01001590,Greenwich 014A,54,106,56
E01001591,Greenwich 012C,70,137,89
E01001592,Greenwich 014B,51,198,40
E01001593,Greenwich 014C,96,192,28
E01001594,Greenwich 014D,72,152,107
E01001595,Greenwich 012D,48,159,125
E01001596,Greenwich 032A,75,179,30
E01001597,Greenwich 031A,84,117,28
E01001598,Greenwich 031B,77,136,20
E01001599,Greenwich 032B,60,147,47
E01001600,Greenwich 032C,70,125,43
E01001601,Greenwich 032D,86,139,14
E01001602,Greenwich 031C,79,153,72
E01001603,Greenwich 031D,108,134,95
E01001604,Greenwich 027A,69,144,36
E01001605,Greenwich 023A,69,152,17
E01001606,Greenwich 023B,66,184,25
E01001607,Greenwich 027B,96,143,38
E01001608,Greenwich 027C,103,135,22
E01001609,Greenwich 027D,142,120,36
E01001610,Greenwich 023C,88,187,46
E01001611,Greenwich 023D,103,163,47
E01001613,Greenwich 028A,134,133,62
E01001614,Greenwich 028B,53,126,14
E01001615,Greenwich 028C,124,148,61
E01001617,Greenwich 028D,149,132,31
E01001618,Greenwich 030C,84,165,76
E01001619,Greenwich 030D,72,183,59
E01001620,Greenwich 025A,49,104,49
E01001621,Greenwich 025B,85,120,50
E01001623,Greenwich 025C,54,143,63
E01001624,Greenwich 025D,85,119,42
E01001625,Greenwich 025E,74,131,70
E01001629,Greenwich 009A,67,138,126
E01001631,Greenwich 007B,43,136,115
E01001632,Greenwich 007C,38,107,48
E01001633,Greenwich 009B,59,110,104
E01001634,Greenwich 009C,56,101,102
E01001635,Greenwich 007D,53,122,43
E01001636,Greenwich 007E,65,96,47
E01001637,Greenwich 009D,46,108,78
E01001638,Greenwich 038A,47,89,106
E01001641,Greenwich 038B,86,124,41
E01001642,Greenwich 038C,71,156,29
E01001644,Greenwich 038D,41,191,45
E01001645,Greenwich 022A,73,133,68
E01001646,Greenwich 019A,63,212,149
E01001647,Greenwich 022B,71,118,38
E01001648,Greenwich 022C,54,134,47
E01001649,Greenwich 022D,45,123,58
E01001650,Greenwich 019B,70,140,49
E01001651,Greenwich 019C,71,141,87
E01001652,Greenwich 019D,112,126,32
E01001653,Greenwich 029A,63,109,95
E01001654,Greenwich 029B,51,115,87
E01001655,Greenwich 029C,53,111,81
E01001656,Greenwich 034A,87,118,55
E01001657,Greenwich 034B,91,143,46
E01001658,Greenwich 034C,122,138,63
E01001659,Greenwich 034D,82,134,20
E01001660,Greenwich 029D,47,117,65
E01001661,Greenwich 029E,59,123,84
E01001664,Greenwich 037B,69,137,43
E01001665,Greenwich 037C,47,153,35
E01001666,Greenwich 041G,62,120,59
E01001669,Greenwich 033A,54,148,176
E01001671,Greenwich 033B,74,150,69
E01001672,Greenwich 006A,42,107,68
E01001673,Greenwich 006B,102,81,66
E01001674,Greenwich 006C,59,126,75
E01001675,Greenwich 006D,34,99,69
E01001676,Greenwich 033C,39,101,105
E01001677,Greenwich 006E,54,115,83
E01001678,Greenwich 017A,58,129,80
E01001679,Greenwich 020A,59,127,38
E01001680,Greenwich 020B,77,140,27
E01001681,Greenwich 020C,55,146,36
E01001682,Greenwich 020D,66,98,46
E01001683,Greenwich 017B,56,127,49
E01001684,Greenwich 017C,66,97,63
E01001685,Greenwich 017D,69,98,54
E01001686,Greenwich 020E,63,112,86
E01001687,Greenwich 002A,54,82,60
E01001688,Greenwich 002B,47,232,163
E01001690,Greenwich 001A,81,94,84
E01001692,Greenwich 001B,37,84,116
E01001693,Greenwich 001C,47,89,125
E01001694,Greenwich 001D,39,127,69
E01001695,Greenwich 011A,44,84,56
E01001696,Greenwich 011B,39,148,158
E01001697,Greenwich 011C,37,174,118
E01001698,Greenwich 015A,34,110,122
E01001699,Greenwich 015B,14,97,69
E01001700,Greenwich 011D,43,138,83
E01001701,Greenwich 015C,98,154,56
E01001702,Greenwich 015D,35,70,73
E01001703,Greenwich 011E,37,177,121
E01001704,Greenwich 011F,54,113,56
E01001705,Greenwich 005A,26,139,143
E01001708,Greenwich 005C,50,130,69
E01001710,Greenwich 005D,58,108,111
E01001712,Greenwich 042A,59,159,128
E01001714,Hackney 002A,46,107,81
E01001715,Hackney 007A,41,60,26
E01001716,Hackney 007B,46,80,132
E01001717,Hackney 007C,23,61,19
E01001718,Hackney 007D,35,113,22
E01001719,Hackney 007E,58,105,63
E01001720,Hackney 007F,44,101,39
E01001722,Hackney 029A,88,175,84
E01001723,Hackney 006A,31,134,29
E01001724,Hackney 006B,52,175,69
E01001725,Hackney 004A,32,151,60
E01001726,Hackney 004B,27,89,94
E01001727,Hackney 006C,24,151,23
E01001728,Hackney 029B,32,240,55
E01001729,Hackney 019A,14,70,65
E01001730,Hackney 019B,62,200,196
E01001731,Hackney 017A,40,148,109
E01001732,Hackney 019C,47,89,133
E01001733,Hackney 015A,27,127,47
E01001734,Hackney 017B,51,81,71
E01001735,Hackney 019D,69,76,63
E01001736,Hackney 012A,29,112,39
E01001737,Hackney 012B,25,142,61
E01001738,Hackney 012C,51,122,45
E01001739,Hackney 012D,90,149,40
E01001740,Hackney 014A,50,80,91
E01001741,Hackney 009A,43,143,25
E01001742,Hackney 008A,49,117,105
E01001744,Hackney 031A,74,113,80
E01001745,Hackney 016A,44,115,130
E01001746,Hackney 016B,44,117,124
E01001747,Hackney 014B,70,104,71
E01001749,Hackney 020B,53,71,63
E01001750,Hackney 031D,52,107,88
E01001751,Hackney 031B,54,105,26
E01001753,Hackney 025B,33,103,120
E01001755,Hackney 025D,46,88,71
E01001756,Hackney 030C,79,104,56
E01001757,Hackney 016C,50,113,105
E01001758,Hackney 016D,79,154,149
E01001759,Hackney 016E,75,89,58
E01001760,Hackney 017C,59,77,68
E01001761,Hackney 016F,93,80,72
E01001762,Hackney 017D,51,77,48
E01001763,Hackney 020C,95,102,86
E01001764,Hackney 010A,45,109,57
E01001765,Hackney 010B,85,84,84
E01001767,Hackney 010D,36,123,60
E01001768,Hackney 006D,46,110,42
E01001769,Hackney 006E,36,104,43
E01001770,Hackney 010E,45,88,89
E01001772,Hackney 024A,52,105,78
E01001773,Hackney 025E,48,117,79
E01001774,Hackney 024B,32,90,84
E01001775,Hackney 024C,93,82,76
E01001776,Hackney 025F,66,82,51
E01001777,Hackney 033A,55,102,83
E01001780,Hackney 032D,87,75,86
E01001781,Hackney 026B,50,48,107
E01001783,Hackney 026D,48,73,100
E01001784,Hackney 032A,67,90,88
E01001785,Hackney 015B,61,110,69
E01001786,Hackney 013A,60,118,151
E01001787,Hackney 013B,134,66,71
E01001788,Hackney 013C,107,68,75
E01001789,Hackney 015C,39,119,54
E01001790,Hackney 013D,42,76,123
E01001791,Hackney 015D,37,93,63
E01001792,Hackney 011A,52,124,68
E01001793,Hackney 011B,36,116,76
E01001794,Hackney 011C,37,111,25
E01001795,Hackney 011D,25,91,30
E01001796,Hackney 011E,32,82,43
E01001798,Hackney 028A,66,132,77
E01001799,Hackney 003A,38,151,27
E01001800,Hackney 004C,59,161,68
E01001801,Hackney 008B,73,147,61
E01001802,Hackney 003B,33,102,45
E01001803,Hackney 008C,58,139,49
E01001804,Hackney 003C,33,173,35
E01001805,Hackney 009B,36,89,27
E01001806,Hackney 008D,77,114,60
E01001807,Hackney 003D,51,133,54
E01001808,Hackney 001A,78,170,38
E01001809,Hackney 001B,72,155,32
E01001811,Hackney 002D,52,97,131
E01001812,Hackney 003E,56,153,31
E01001813,Hackney 002E,60,81,167
E01001814,Hackney 001C,31,176,49
E01001815,Hackney 024D,79,87,60
E01001816,Hackney 020D,48,111,57
E01001819,Hackney 020E,117,100,27
E01001820,Hackney 024E,61,72,55
E01001821,Hackney 024F,60,64,62
E01001822,Hackney 029C,59,172,63
E01001823,Hackney 001D,30,139,41
E01001824,Hackney 004D,55,157,47
E01001825,Hackney 001E,33,138,24
E01001826,Hackney 004E,65,151,48
E01001827,Hackney 029D,72,108,82
E01001828,Hackney 028B,66,120,102
E01001829,Hackney 009C,34,181,22
E01001830,Hackney 014C,78,83,64
E01001831,Hackney 009D,64,75,32
E01001832,Hackney 009E,28,88,47
E01001833,Hackney 014D,53,131,83
E01001834,Hackney 014E,34,114,66
E01001835,Hackney 014F,22,79,22
E01001836,Hackney 022A,60,102,70
E01001837,Hackney 023B,56,112,36
E01001838,Hackney 019E,53,111,114
E01001839,Hackney 023C,49,92,72
E01001840,Hackney 022B,94,86,76
E01001841,Hackney 022C,76,89,42
E01001842,Hackney 023D,47,62,89
E01001843,Hackney 023E,33,84,53
E01001844,Hackney 022D,49,119,61
E01001845,Hackney 022E,74,67,91
E01001846,Hackney 018A,75,51,57
E01001847,Hackney 018B,41,68,59
E01001848,Hackney 018C,86,113,105
E01001849,Hackney 018D,26,113,104
E01001850,Hackney 019F,50,106,157
E01001851,Hammersmith and Fulham 010A,49,134,29
E01001852,Hammersmith and Fulham 007A,79,60,44
E01001853,Hammersmith and Fulham 007B,42,106,23
E01001854,Hammersmith and Fulham 007C,65,86,46
E01001855,Hammersmith and Fulham 010B,59,108,40
E01001856,Hammersmith and Fulham 010C,44,107,57
E01001857,Hammersmith and Fulham 007D,93,74,63
E01001858,Hammersmith and Fulham 006A,75,68,57
E01001859,Hammersmith and Fulham 008A,63,226,119
E01001860,Hammersmith and Fulham 006B,59,82,69
E01001861,Hammersmith and Fulham 006C,61,93,50
E01001862,Hammersmith and Fulham 005A,62,74,70
E01001863,Hammersmith and Fulham 006D,59,97,41
E01001864,Hammersmith and Fulham 006E,77,112,39
E01001865,Hammersmith and Fulham 008B,50,145,29
E01001866,Hammersmith and Fulham 012A,53,93,19
E01001867,Hammersmith and Fulham 012B,99,54,18
E01001868,Hammersmith and Fulham 012C,65,52,65
E01001869,Hammersmith and Fulham 010D,103,115,21
E01001870,Hammersmith and Fulham 012D,64,60,24
E01001871,Hammersmith and Fulham 012E,100,91,30
E01001872,Hammersmith and Fulham 012F,64,62,31
E01001873,Hammersmith and Fulham 010E,64,100,66
E01001875,Hammersmith and Fulham 001B,56,89,79
E01001876,Hammersmith and Fulham 001C,54,111,81
E01001877,Hammersmith and Fulham 001D,41,66,51
E01001878,Hammersmith and Fulham 001E,49,82,74
E01001879,Hammersmith and Fulham 019A,61,77,31
E01001880,Hammersmith and Fulham 017A,82,66,51
E01001881,Hammersmith and Fulham 017B,47,101,32
E01001882,Hammersmith and Fulham 017C,32,105,15
E01001883,Hammersmith and Fulham 017D,101,99,41
E01001884,Hammersmith and Fulham 017E,143,72,49
E01001885,Hammersmith and Fulham 015A,46,61,73
E01001886,Hammersmith and Fulham 016A,51,66,63
E01001887,Hammersmith and Fulham 016B,98,82,32
E01001888,Hammersmith and Fulham 018A,61,95,21
E01001889,Hammersmith and Fulham 014A,51,86,18
E01001890,Hammersmith and Fulham 016C,43,74,32
E01001891,Hammersmith and Fulham 018B,65,157,39
E01001892,Hammersmith and Fulham 016D,56,78,55
E01001893,Hammersmith and Fulham 013A,48,84,64
E01001894,Hammersmith and Fulham 013B,62,50,45
E01001895,Hammersmith and Fulham 009A,54,96,39
E01001896,Hammersmith and Fulham 009B,94,74,31
E01001897,Hammersmith and Fulham 009C,55,110,33
E01001898,Hammersmith and Fulham 013C,62,120,46
E01001899,Hammersmith and Fulham 013D,103,62,81
E01001900,Hammersmith and Fulham 013E,54,71,71
E01001901,Hammersmith and Fulham 019B,44,158,27
E01001902,Hammersmith and Fulham 019C,73,87,31
E01001903,Hammersmith and Fulham 019D,51,71,43
E01001904,Hammersmith and Fulham 022A,47,131,18
E01001905,Hammersmith and Fulham 022B,77,134,23
E01001906,Hammersmith and Fulham 022C,43,126,30
E01001907,Hammersmith and Fulham 022D,44,113,32
E01001908,Hammersmith and Fulham 015B,45,59,24
E01001909,Hammersmith and Fulham 015C,110,66,42
E01001910,Hammersmith and Fulham 014B,56,51,21
E01001911,Hammersmith and Fulham 015D,66,80,107
E01001912,Hammersmith and Fulham 015E,41,59,72
E01001913,Hammersmith and Fulham 014C,70,58,18
E01001914,Hammersmith and Fulham 014D,38,46,34
E01001915,Hammersmith and Fulham 024A,85,126,24
E01001916,Hammersmith and Fulham 024B,133,75,14
E01001917,Hammersmith and Fulham 018C,137,100,41
E01001918,Hammersmith and Fulham 018D,67,146,36
E01001919,Hammersmith and Fulham 018E,81,152,12
E01001920,Hammersmith and Fulham 020A,99,56,48
E01001921,Hammersmith and Fulham 020B,48,104,23
E01001922,Hammersmith and Fulham 020C,57,149,31
E01001923,Hammersmith and Fulham 020D,70,116,39
E01001924,Hammersmith and Fulham 020E,54,139,17
E01001925,Hammersmith and Fulham 025A,52,159,24
E01001926,Hammersmith and Fulham 024C,58,116,23
E01001927,Hammersmith and Fulham 008C,57,144,11
E01001928,Hammersmith and Fulham 011A,94,147,36
E01001929,Hammersmith and Fulham 009D,83,137,35
E01001930,Hammersmith and Fulham 008D,152,116,36
E01001931,Hammersmith and Fulham 011B,56,94,29
E01001932,Hammersmith and Fulham 011C,53,93,57
E01001933,Hammersmith and Fulham 011D,77,78,40
E01001934,Hammersmith and Fulham 025B,73,130,72
E01001935,Hammersmith and Fulham 023A,85,122,49
E01001937,Hammersmith and Fulham 025C,51,156,34
E01001938,Hammersmith and Fulham 025D,59,92,67
E01001940,Hammersmith and Fulham 005B,77,72,50
E01001941,Hammersmith and Fulham 005C,45,52,33
E01001942,Hammersmith and Fulham 005D,56,91,27
E01001943,Hammersmith and Fulham 004A,67,102,102
E01001944,Hammersmith and Fulham 004B,84,82,101
E01001945,Hammersmith and Fulham 004C,59,93,56
E01001946,Hammersmith and Fulham 004D,53,103,65
E01001947,Hammersmith and Fulham 021A,47,65,91
E01001948,Hammersmith and Fulham 021B,55,139,36
E01001949,Hammersmith and Fulham 021C,46,136,18
E01001950,Hammersmith and Fulham 021D,37,154,19
E01001951,Hammersmith and Fulham 021E,55,92,37
E01001952,Hammersmith and Fulham 024D,58,69,31
E01001953,Hammersmith and Fulham 021F,66,62,41
E01001954,Hammersmith and Fulham 003A,91,102,69
E01001955,Hammersmith and Fulham 002A,57,139,88
E01001956,Hammersmith and Fulham 003B,74,97,62
E01001957,Hammersmith and Fulham 002B,37,88,105
E01001958,Hammersmith and Fulham 002C,29,95,98
E01001959,Hammersmith and Fulham 003C,47,111,54
E01001960,Hammersmith and Fulham 003D,42,108,57
E01001961,Hammersmith and Fulham 002D,44,100,99
E01001962,Haringey 004A,67,218,68
E01001963,Haringey 009A,67,217,40
E01001964,Haringey 009B,53,152,32
E01001965,Haringey 009C,63,216,44
E01001966,Haringey 009D,52,154,23
E01001967,Haringey 014A,51,152,21
E01001968,Haringey 014B,58,175,40
E01001969,Haringey 001A,109,123,71
E01001970,Haringey 004B,48,93,75
E01001971,Haringey 001B,95,115,98
E01001972,Haringey 004C,83,106,74
E01001973,Haringey 004D,111,202,123
E01001974,Haringey 001C,62,180,76
E01001975,Haringey 001D,51,130,74
E01001976,Haringey 011A,48,100,75
E01001977,Haringey 011B,54,85,90
E01001978,Haringey 011C,73,101,95
E01001979,Haringey 011D,66,135,120
E01001980,Haringey 018A,52,106,58
E01001981,Haringey 018B,44,79,62
E01001982,Haringey 018C,71,107,74
E01001983,Haringey 018D,38,119,57
E01001984,Haringey 033A,142,120,40
E01001985,Haringey 033B,68,160,33
E01001986,Haringey 034A,65,142,28
E01001987,Haringey 033C,104,169,21
E01001988,Haringey 034B,92,151,33
E01001989,Haringey 033D,96,176,25
E01001990,Haringey 034C,67,117,58
E01001991,Haringey 017A,76,165,60
E01001992,Haringey 017B,80,191,28
E01001993,Haringey 017C,78,210,17
E01001994,Haringey 030A,89,150,24
E01001995,Haringey 017D,77,247,116
E01001996,Haringey 014C,63,154,40
E01001997,Haringey 014D,57,163,44
E01001998,Haringey 023A,50,136,36
E01001999,Haringey 023B,55,172,58
E01002000,Haringey 031A,46,127,37
E01002001,Haringey 031B,34,101,26
E01002002,Haringey 031C,48,91,30
E01002003,Haringey 023C,54,126,119
E01002004,Haringey 023D,55,124,33
E01002005,Haringey 035A,39,84,23
E01002006,Haringey 035B,69,109,47
E01002007,Haringey 035C,75,114,24
E01002008,Haringey 030B,83,138,21
E01002009,Haringey 035D,78,112,21
E01002010,Haringey 030C,91,135,52
E01002011,Haringey 030D,66,145,30
E01002013,Haringey 022A,58,140,36
E01002014,Haringey 020B,82,113,47
E01002015,Haringey 020C,73,95,46
E01002016,Haringey 028A,66,138,61
E01002017,Haringey 028B,57,122,46
E01002018,Haringey 020D,81,116,51
E01002019,Haringey 022B,49,118,32
E01002020,Haringey 021A,77,118,37
E01002021,Haringey 022C,76,137,13
E01002022,Haringey 021B,115,171,56
E01002023,Haringey 021C,109,127,20
E01002024,Haringey 022D,50,107,27
E01002025,Haringey 021D,61,161,17
E01002026,Haringey 016A,63,82,84
E01002027,Haringey 010A,56,68,28
E01002028,Haringey 010B,41,95,46
E01002029,Haringey 016B,42,94,66
E01002030,Haringey 016C,43,68,52
E01002031,Haringey 016D,44,83,59
E01002032,Haringey 010C,51,104,80
E01002033,Haringey 010D,53,91,77
E01002034,Haringey 037A,56,179,219
E01002036,Haringey 002A,56,101,102
E01002037,Haringey 002B,53,88,91
E01002038,Haringey 037B,70,101,107
E01002039,Haringey 002C,36,112,110
E01002040,Haringey 002D,104,112,109
E01002041,Haringey 037C,77,109,89
E01002042,Haringey 027A,51,102,30
E01002043,Haringey 026A,41,135,61
E01002044,Haringey 027B,38,74,46
E01002045,Haringey 026B,55,165,105
E01002046,Haringey 026C,78,72,68
E01002047,Haringey 027C,30,89,28
E01002048,Haringey 027D,55,91,51
E01002049,Haringey 026D,65,104,67
E01002050,Haringey 029A,25,189,25
E01002051,Haringey 029B,50,107,72
E01002052,Haringey 029C,32,213,27
E01002053,Haringey 032A,77,120,83
E01002054,Haringey 032B,45,88,114
E01002055,Haringey 029D,22,205,28
E01002056,Haringey 032C,73,160,75
E01002057,Haringey 032D,39,90,41
E01002058,Haringey 031D,42,94,37
E01002059,Haringey 028C,83,131,37
E01002060,Haringey 028D,53,137,38
E01002061,Haringey 036A,45,99,15
E01002062,Haringey 034D,58,107,35
E01002063,Haringey 036B,75,99,35
E01002064,Haringey 036C,43,74,44
E01002065,Haringey 036D,58,87,23
E01002066,Haringey 025A,50,125,142
E01002067,Haringey 024A,87,72,59
E01002068,Haringey 025B,51,119,81
E01002069,Haringey 024B,147,87,88
E01002070,Haringey 024C,82,154,80
E01002071,Haringey 025C,73,102,97
E01002072,Haringey 025D,67,67,71
E01002073,Haringey 024D,45,82,86
E01002074,Haringey 012A,82,137,112
E01002075,Haringey 015A,68,127,121
E01002076,Haringey 015B,54,90,115
E01002077,Haringey 012B,49,121,141
E01002078,Haringey 015C,97,144,105
E01002079,Haringey 012C,44,106,58
E01002081,Haringey 012D,78,77,75
E01002082,Haringey 013A,50,58,74
E01002083,Haringey 019A,50,76,28
E01002084,Haringey 019B,53,118,53
E01002085,Haringey 019C,56,133,67
E01002086,Haringey 013B,30,95,37
E01002087,Haringey 019D,57,122,63
E01002088,Haringey 013C,52,106,61
E01002089,Haringey 013D,55,74,97
E01002090,Haringey 005A,45,93,59
E01002091,Haringey 006A,85,92,69
E01002092,Haringey 006B,41,100,136
E01002093,Haringey 005B,54,124,79
E01002094,Haringey 006C,37,81,79
E01002095,Haringey 006D,55,87,92
E01002096,Haringey 005C,72,94,68
E01002097,Haringey 005D,45,104,80
E01002098,Haringey 007A,65,120,34
E01002099,Haringey 008A,59,117,91
E01002100,Haringey 008B,49,110,71
E01002101,Haringey 007B,63,158,40
E01002102,Haringey 007C,55,106,73
E01002103,Haringey 008C,48,95,55
E01002104,Haringey 008D,39,60,31
E01002105,Haringey 007D,59,104,51
E01002106,Harrow 008A,56,149,19
E01002107,Harrow 012A,53,161,28
E01002108,Harrow 008B,43,171,12
E01002109,Harrow 008C,66,174,27
E01002110,Harrow 008D,49,132,17
E01002111,Harrow 008E,48,168,37
E01002112,Harrow 001A,93,183,25
E01002113,Harrow 002A,75,125,24
E01002114,Harrow 001B,260,154,57
E01002115,Harrow 002B,59,107,12
E01002116,Harrow 002C,99,121,18
E01002118,Harrow 002E,83,134,45
E01002119,Harrow 007A,48,186,68
E01002120,Harrow 007B,63,93,42
E01002121,Harrow 007C,34,123,20
E01002122,Harrow 007D,54,130,28
E01002123,Harrow 007E,39,91,23
E01002124,Harrow 010A,38,110,25
E01002125,Harrow 010B,36,128,31
E01002127,Harrow 023B,89,150,15
E01002128,Harrow 020A,56,166,52
E01002129,Harrow 023C,80,255,51
E01002130,Harrow 020B,60,229,112
E01002131,Harrow 023D,101,96,41
E01002132,Harrow 029A,82,173,53
E01002133,Harrow 027A,112,116,93
E01002134,Harrow 029B,67,108,30
E01002135,Harrow 029C,84,150,47
E01002136,Harrow 027B,71,162,36
E01002137,Harrow 029D,39,85,18
E01002138,Harrow 027C,46,130,31
E01002139,Harrow 006A,64,90,48
E01002140,Harrow 005A,77,128,39
E01002141,Harrow 005B,119,128,26
E01002142,Harrow 005C,71,133,48
E01002143,Harrow 005D,38,123,42
E01002144,Harrow 004A,82,124,26
E01002145,Harrow 005E,118,106,39
E01002146,Harrow 004B,58,146,12
E01002147,Harrow 004C,60,89,9
E01002148,Harrow 006B,41,125,12
E01002149,Harrow 004D,41,115,9
E01002150,Harrow 006C,140,233,44
E01002151,Harrow 006D,82,104,47
E01002152,Harrow 006E,107,165,28
E01002153,Harrow 019A,78,153,19
E01002155,Harrow 019B,93,178,22
E01002156,Harrow 015B,45,125,13
E01002157,Harrow 019C,57,133,30
E01002158,Harrow 019D,46,134,12
E01002159,Harrow 021A,47,168,36
E01002160,Harrow 021B,44,251,67
E01002161,Harrow 021C,67,154,51
E01002162,Harrow 015C,60,159,51
E01002163,Harrow 015D,56,140,20
E01002164,Harrow 021D,58,174,53
E01002165,Harrow 017A,40,95,25
E01002166,Harrow 017B,45,83,16
E01002167,Harrow 017C,53,73,17
E01002168,Harrow 017D,61,105,35
E01002169,Harrow 017E,51,80,30
E01002170,Harrow 033A,34,70,20
E01002171,Harrow 033B,46,117,25
E01002172,Harrow 033C,47,107,21
E01002173,Harrow 033D,43,94,10
E01002174,Harrow 033E,39,85,14
E01002175,Harrow 033F,35,61,12
E01002176,Harrow 033G,36,100,14
E01002177,Harrow 033H,35,96,14
E01002178,Harrow 033I,36,105,17
E01002179,Harrow 013A,56,223,93
E01002181,Harrow 020C,53,219,41
E01002182,Harrow 020D,40,176,33
E01002183,Harrow 013C,64,124,44
E01002184,Harrow 013D,73,140,47
E01002185,Harrow 009A,56,141,63
E01002186,Harrow 009B,118,171,61
E01002187,Harrow 009C,116,188,39
E01002188,Harrow 016A,105,161,9
E01002189,Harrow 016B,111,158,36
E01002190,Harrow 009D,85,155,8
E01002191,Harrow 022A,56,218,26
E01002192,Harrow 016C,127,170,11
E01002193,Harrow 016D,77,229,61
E01002194,Harrow 022B,75,207,24
E01002195,Harrow 022C,76,190,21
E01002196,Harrow 022D,57,207,12
E01002197,Harrow 012B,45,91,13
E01002198,Harrow 010C,34,102,10
E01002199,Harrow 012C,38,103,20
E01002200,Harrow 010D,36,97,17
E01002201,Harrow 012D,41,97,10
E01002202,Harrow 012E,50,202,65
E01002203,Harrow 010E,35,130,24
E01002204,Harrow 032A,61,183,35
E01002206,Harrow 032B,49,112,14
E01002207,Harrow 032C,42,184,18
E01002208,Harrow 025A,70,125,12
E01002209,Harrow 025B,50,152,32
E01002210,Harrow 032D,38,121,14
E01002211,Harrow 028A,33,105,52
E01002212,Harrow 028B,65,182,44
E01002214,Harrow 031A,51,151,53
E01002215,Harrow 031B,92,152,61
E01002216,Harrow 028C,31,184,23
E01002217,Harrow 028D,43,189,76
E01002218,Harrow 030A,85,131,31
E01002219,Harrow 030B,64,132,42
E01002220,Harrow 031C,35,122,28
E01002221,Harrow 030C,39,115,36
E01002222,Harrow 030D,34,126,22
E01002223,Harrow 031D,40,134,27
E01002224,Harrow 031E,37,140,43
E01002225,Harrow 001C,115,119,17
E01002226,Harrow 001D,170,177,59
E01002227,Harrow 003A,68,104,59
E01002228,Harrow 003B,77,191,32
E01002229,Harrow 003C,114,145,32
E01002230,Harrow 003D,71,133,18
E01002231,Harrow 013E,49,191,46
E01002232,Harrow 011A,86,129,51
E01002233,Harrow 011B,86,174,73
E01002234,Harrow 011C,47,209,55
E01002235,Harrow 011D,85,123,49
E01002236,Harrow 011E,40,204,71
E01002237,Harrow 024A,41,142,49
E01002238,Harrow 024B,64,161,22
E01002239,Harrow 025C,74,165,31
E01002240,Harrow 024C,78,115,29
E01002241,Harrow 025D,44,155,45
E01002242,Harrow 024D,69,147,23
E01002243,Havering 013A,114,153,111
E01002244,Havering 011A,69,162,62
E01002245,Havering 011B,97,147,32
E01002246,Havering 017A,73,118,27
E01002247,Havering 017B,53,214,126
